"city_name","brand","model","year","price","avg_car_city"
"Kota Jakarta Timur","Toyota","Toyota Yaris",2016,175000000,128750000
"Kota Denpasar","Toyota","Toyota Yaris",2018,215000000,189166667
"Kota Jakarta Utara","Toyota","Toyota Yaris",2014,162000000,185083333
"Kota Makassar","Toyota","Toyota Yaris",2020,220000000,285000000
"Kota Jakarta Pusat","Toyota","Toyota Yaris",2012,124000000,196900000
"Kota Bandung","Toyota","Toyota Agya",2019,114000000,97500000
"Kota Bandung","Toyota","Toyota Agya",2014,97000000,97500000
"Kota Jakarta Pusat","Toyota","Toyota Agya",2016,110000000,196900000
"Kota Jakarta Barat","Toyota","Toyota Agya",2022,155500000,191833333
"Kota Surabaya","Toyota","Toyota Agya",2017,115500000,233333333
"Kota Samarinda","Toyota","Toyota Calya",2019,130000000,176142857
"Kota Samarinda","Toyota","Toyota Calya",2019,137000000,176142857
"Kota Jakarta Selatan","Toyota","Toyota Calya",2017,115500000,147250000
"Kota Malang","Toyota","Toyota Calya",2016,104000000,204000000
"Kota Jakarta Timur","Toyota","Toyota Calya",2016,107000000,128750000
"Kota Bandung","Daihatsu","Daihatsu Ayla",2016,83000000,97500000
"Kota Jakarta Timur","Daihatsu","Daihatsu Ayla",2019,120000000,128750000
"Kota Bandung","Daihatsu","Daihatsu Ayla",2015,96000000,97500000
"Kota Balikpapan","Daihatsu","Daihatsu Ayla",2017,115000000,169000000
"Kota Jakarta Timur","Daihatsu","Daihatsu Ayla",2017,113000000,128750000
"Kota Denpasar","Daihatsu","Daihatsu Terios",2018,190000000,189166667
"Kota Balikpapan","Daihatsu","Daihatsu Terios",2022,223000000,169000000
"Kota Jakarta Pusat","Daihatsu","Daihatsu Terios",2019,189900000,196900000
"Kota Malang","Daihatsu","Daihatsu Terios",2017,166000000,204000000
"Kota Malang","Daihatsu","Daihatsu Terios",2018,201000000,204000000
"Kota Jakarta Barat","Daihatsu","Daihatsu Xenia",2019,170000000,191833333
"Kota Jakarta Utara","Daihatsu","Daihatsu Xenia",2022,220500000,185083333
"Kota Padang","Daihatsu","Daihatsu Xenia",2017,135000000,135000000
"Kota Samarinda","Daihatsu","Daihatsu Xenia",2014,100000000,176142857
"Kota Samarinda","Daihatsu","Daihatsu Xenia",2018,159000000,176142857
"Kota Denpasar","Honda","Honda Jazz",2018,236000000,189166667
"Kota Jakarta Barat","Honda","Honda Jazz",2019,250000000,191833333
"Kota Denpasar","Honda","Honda Jazz",2018,216000000,189166667
"Kota Jakarta Pusat","Honda","Honda Jazz",2015,192000000,196900000
"Kota Denpasar","Honda","Honda Jazz",2013,178000000,189166667
"Kota Samarinda","Honda","Honda CR-V",2018,415000000,176142857
"Kota Malang","Honda","Honda CR-V",2017,345000000,204000000
"Kota Jakarta Utara","Honda","Honda CR-V",2009,116000000,185083333
"Kota Jakarta Utara","Honda","Honda CR-V",2016,269000000,185083333
"Kota Surabaya","Honda","Honda CR-V",2018,398500000,233333333
"Kota Makassar","Honda","Honda Civic",2018,350000000,285000000
"Kota Jakarta Utara","Honda","Honda Civic",2010,165000000,185083333
"Kota Surabaya","Honda","Honda Civic",2013,186000000,233333333
"Kota Jakarta Selatan","Honda","Honda Civic",2013,179000000,147250000
"Kota Jakarta Pusat","Honda","Honda Civic",2019,397500000,196900000
"Kota Samarinda","Suzuki","Suzuki Ertiga",2015,125000000,176142857
"Kota Jakarta Utara","Suzuki","Suzuki Ertiga",2018,178000000,185083333
"Kota Jakarta Pusat","Suzuki","Suzuki Ertiga",2016,168000000,196900000
"Kota Denpasar","Suzuki","Suzuki Ertiga",2012,100000000,189166667
"Kota Samarinda","Suzuki","Suzuki Ertiga",2018,167000000,176142857
