"model","buyer_id","first_bid_date","first_bid_price","next_bid_date","next_bid_price"
"Daihatsu Ayla",4,"2022-08-21",132000000,NULL,NULL
"Daihatsu Ayla",25,"2023-06-20",115200000,NULL,NULL
"Daihatsu Ayla",36,"2023-10-02",99600000,NULL,NULL
"Daihatsu Ayla",43,"2023-06-10",156000000,NULL,NULL
"Daihatsu Terios",11,"2023-12-23",261300000,NULL,NULL
"Daihatsu Terios",24,"2023-06-02",227880000,NULL,NULL
"Daihatsu Terios",30,"2023-08-27",209000000,NULL,NULL
"Daihatsu Terios",34,"2023-08-15",199200000,NULL,NULL
"Daihatsu Terios",46,"2023-08-27",246870000,NULL,NULL
"Daihatsu Terios",48,"2023-09-16",289900000,NULL,NULL
"Daihatsu Terios",49,"2023-03-10",246870000,NULL,NULL
"Daihatsu Xenia",10,"2023-11-25",264600000,NULL,NULL
"Daihatsu Xenia",34,"2023-02-11",175500000,NULL,NULL
"Daihatsu Xenia",35,"2022-07-25",148500000,NULL,NULL
"Daihatsu Xenia",47,"2023-11-27",242550000,NULL,NULL
"Daihatsu Xenia",48,"2023-01-03",221000000,NULL,NULL
"Daihatsu Xenia",50,"2023-12-16",264600000,NULL,NULL
"Honda Civic",4,"2023-05-02",420000000,NULL,NULL
"Honda Civic",20,"2023-09-01",420000000,"2023-11-18",455000000
"Honda Civic",28,"2023-11-01",437250000,NULL,NULL
"Honda Civic",29,"2023-08-26",420000000,NULL,NULL
"Honda Civic",33,"2023-02-17",223200000,NULL,NULL
"Honda Civic",34,"2023-06-11",232700000,"2023-11-23",232700000
"Honda CR-V",19,"2023-08-10",518050000,NULL,NULL
"Honda CR-V",48,"2023-11-30",539500000,NULL,NULL
"Honda Jazz",2,"2023-04-03",283200000,NULL,NULL
"Honda Jazz",25,"2023-05-12",237600000,"2023-12-15",195800000
"Honda Jazz",41,"2023-12-29",195800000,NULL,NULL
"Suzuki Ertiga",9,"2023-03-06",150000000,"2023-08-18",184800000
"Suzuki Ertiga",11,"2022-12-13",150000000,NULL,NULL
"Suzuki Ertiga",29,"2023-12-30",120000000,NULL,NULL
"Toyota Agya",21,"2023-04-23",150150000,NULL,NULL
"Toyota Agya",22,"2023-12-23",125400000,NULL,NULL
"Toyota Agya",35,"2023-12-31",136800000,NULL,NULL
"Toyota Agya",50,"2022-12-08",116400000,NULL,NULL
"Toyota Calya",6,"2023-06-14",138600000,NULL,NULL
"Toyota Calya",28,"2023-12-17",169000000,NULL,NULL
"Toyota Yaris",2,"2023-08-01",200000000,"2023-12-10",136400000
"Toyota Yaris",8,"2023-09-26",192500000,NULL,NULL
"Toyota Yaris",9,"2023-06-10",236500000,NULL,NULL
"Toyota Yaris",23,"2023-05-13",178200000,NULL,NULL
"Toyota Yaris",38,"2023-12-16",136400000,NULL,NULL
"Toyota Yaris",41,"2023-04-10",279500000,NULL,NULL
"Toyota Yaris",42,"2023-09-25",192500000,NULL,NULL
"Toyota Yaris",43,"2023-12-20",236500000,NULL,NULL
"Toyota Yaris",50,"2023-12-07",136400000,NULL,NULL
