"model","avg_price","avg_bid_6month","difference","difference_percent"
"Daihatsu Ayla",107833333,123600000,-15766667,-14.621329211746522
"Daihatsu Terios",192814286,240145714,-47331429,-24.547677261613696
"Daihatsu Xenia",170062500,257250000,-87187500,-51.267916207276734
"Honda Civic",278500000,373950000,-95450000,-34.272890484739676
"Honda CR-V",308700000,528775000,-220075000,-71.29089731130547
"Honda Jazz",208333333,228100000,-19766667,-9.488000000000001
"Suzuki Ertiga",143833333,151600000,-7766667,-5.399768250289689
"Toyota Agya",117666667,137450000,-19783333,-16.813031161473084
"Toyota Calya",118700000,153800000,-35100000,-29.57034540859309
"Toyota Yaris",174909091,192490000,-17580909,-10.0514553014553
